Variable,Product,Spatial Resolution (m),Temporal Resolution,Source,Availability
Elevation,AW3D30,30,--,https://www.eorc.jaxa.jp/ALOS/en/aw3d30/index.htm ,--
Land cover,NRSC,56,Annual,https://www.nrsc.gov.in/EO_LULC_Objective,2005-
Dry Matter Productivity (DMP),Copernicus,300,10 days,https://land.copernicus.eu/global/products/dmp ,1999-
Actual Evapotranspiration,WaPOR 3,300,Monthly,https://wapor.apps.fao.org/,2018 -
Precipitation,IMD,27750,Daily,https://mausam.imd.gov.in/,1981 - 
Reference Evapotranspiration,SSEBop,100000,Daily,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/fews/web/global/,2001 -
